Categoría,Subcategoría,Nombre,Marca,Precio,Imagen (URL),Enlace,Es flexible
Despensa,Sin subcategoría,Salsa De Soya Clara Sin Gluten OS Envase 150 mL,Sin marca,S/ 6.70,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/125175125/salsa-de-soya-clara-sin-gluten-os-150ml/125175127?exp=tottus,No aplica
Despensa,Sin subcategoría,Trozos De Caballa 170 g,FRESCOMAR,S/ 4.80,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/125175132/trozos-de-caballa-frescomar-170g/125175133?exp=tottus,No aplica
Despensa,Sin subcategoría,Salsa De Ostion Os 280 g,Sin marca,S/ 10,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/125175130/salsa-de-ostion-os-280g/125175131?exp=tottus,No aplica
Despensa,Sin subcategoría,Salsa Blanca Frasco 325 g,CASA VERDE,S/ 9.81,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/125175134/salsa-blanca-frasco-casa-verde-325g/125175135?exp=tottus,No aplica
Despensa,Sin subcategoría,Salsa Hoisin OS Envase 250 g,Sin marca,S/ 11.80,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/125175128/salsa-hoisin-os-250g/125175129?exp=tottus,No aplica
Despensa,Sin subcategoría,Vinagreta Clásica x 237 g,TOTTUS,S/ 4.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/125438493/vinagreta-clasica-tottus-x-237g%E2%80%8B/125438495?exp=tottus,No aplica
Despensa,Sin subcategoría,Vinagreta Clásica Light x 237 g,TOTTUS,S/ 4.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/125438497/vinagreta-clasica-light-tottus-x-237g%E2%80%8B/125438499?exp=tottus,No aplica
Despensa,Sin subcategoría,Tapenade De Pura Alcachofa Frasco x 190 g,CASA VERDE,S/ 7.50,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/117186631/tapenade-de-pura-alcachofa-x-190gr-casa-verde/117186632?exp=tottus,No aplica
Despensa,Sin subcategoría,Chocolate Pack 36 Und Barra 43 g,HERSHEYS,S/ 151.20,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/139892202/hersheys-milk-choc-disp-x-36u-x-43g/139892203?exp=tottus,No aplica
Despensa,Sin subcategoría,Mantequilla De Maní Frasco x 410 g,AMARU SUPERFOODS,S/ 21.90,Sin imagen,https://tottus.falabella.com.pehttps://tottus.falabella.com.pe/tottus-pe/product/138899795/mantequilla-de-mani-410gr/138899801?exp=tottus,No aplica
